geometry,tot,영역 구분
"POLYGON ((127.49565621030892 36.09845965933601, 127.49565618549772 36.098910449108956, 127.49510072216671 36.09891042768561, 127.49510075015067 36.098459637913, 127.49565621030892 36.09845965933601))",35.0,0
"POLYGON ((127.49510075015097 36.09845963791261, 127.49510072216702 36.09891042768521, 127.49454525883667 36.098910403686986, 127.49454528999333 36.098459613914784, 127.49510075015097 36.09845963791261))",20.320000000000004,0
"POLYGON ((127.494545289993 36.09845961391423, 127.49454525883635 36.09891040368644, 127.49398979550668 36.09891037711335, 127.49398982983605 36.09845958734157, 127.494545289993 36.09845961391423))",10.610000000000003,0
"POLYGON ((127.49510072216667 36.09891042768479, 127.49510069418211 36.09936121742341, 127.49454522767896 36.09936119342479, 127.4945452588363 36.09891040368657, 127.49510072216667 36.09891042768479))",7.830000000000003,0
"POLYGON ((127.49454525883671 36.09891040368644, 127.49454522767937 36.09936119342467, 127.49398976117689 36.09936116685113, 127.49398979550703 36.09891037711335, 127.49454525883671 36.09891040368644))",13.520000000000003,0
"POLYGON ((127.49454522767947 36.09936119342564, 127.49454519652143 36.09981198312987, 127.49398972684611 36.09981195655591, 127.49398976117702 36.09936116685211, 127.49454522767947 36.09936119342564))",3.920000000000001,0
"POLYGON ((127.4951006941824 36.09936121742398, 127.49510066619723 36.099812007128605, 127.4945451965212 36.099811983129584, 127.49454522767924 36.09936119342536, 127.4951006941824 36.09936121742398))",88.36,0
"POLYGON ((127.49565616068627 36.099361238847344, 127.49565613587396 36.099812028552314, 127.49510066619733 36.099812007128264, 127.4951006941825 36.09936121742365, 127.49565616068627 36.099361238847344))",49.2,0
"POLYGON ((127.49565618549757 36.09891044910818, 127.4956561606858 36.09936123884716, 127.49510069418203 36.09936121742346, 127.49510072216658 36.09891042768484, 127.49565618549757 36.09891044910818))",13.830000000000004,0
"POLYGON ((127.49621164882946 36.09891046795658, 127.49621162719049 36.09936125769586, 127.49565616068615 36.09936123884706, 127.49565618549792 36.0989104491081, 127.49621164882946 36.09891046795658))",23.310000000000006,0
"POLYGON ((127.4962116271901 36.099361257696714, 127.49621160555068 36.099812047402, 127.49565613587347 36.0998120285529, 127.49565616068578 36.099361238847926, 127.4962116271901 36.099361257696714))",134.62,0
"POLYGON ((127.49676709369491 36.09936127397012, 127.49676707522833 36.099812063675664, 127.49621160555066 36.09981204740152, 127.4962116271901 36.099361257696245, 127.49676709369491 36.09936127397012))",26.190000000000005,0
"POLYGON ((127.49732256020069 36.099361287669545, 127.49732254490698 36.099812077375304, 127.49676707522889 36.099812063676126, 127.49676709369547 36.099361273970565, 127.49732256020069 36.099361287669545))",3.980000000000001,0
"POLYGON ((127.4973225754941 36.09891049792943, 127.49732256020071 36.099361287669204, 127.4967670936955 36.09936127397024, 127.49676711216168 36.0989104842307, 127.4973225754941 36.09891049792943))",2.1900000000000004,0
"POLYGON ((127.49676711216132 36.09891048423099, 127.49676709369514 36.09936127397053, 127.49621162719033 36.099361257696664, 127.4962116488293 36.09891046795738, 127.49676711216132 36.09891048423099))",9.710000000000003,0
"POLYGON ((127.49732259078657 36.09845970815533, 127.49732257549351 36.098910497929076, 127.4967671121611 36.098910484230345, 127.49676713062685 36.09845969445682, 127.49732259078657 36.09845970815533))",10.160000000000004,0
"POLYGON ((127.49676713062672 36.09845969445687, 127.49676711216097 36.0989104842304, 127.49621164882895 36.098910467956784, 127.49621167046743 36.098459678183524, 127.49676713062672 36.09845969445687))",7.240000000000002,0
"POLYGON ((127.49621167046783 36.098459678183424, 127.49621164882933 36.098910467956685, 127.4956561854978 36.0989104491082, 127.49565621030902 36.09845965933525, 127.49621167046783 36.098459678183424))",18.620000000000005,0
"POLYGON ((127.49787805094734 36.09845971927882, 127.49787803882703 36.09891050905276, 127.49732257549425 36.09891049792889, 127.49732259078729 36.09845970815514, 127.49787805094734 36.09845971927882))",0.77,0
"POLYGON ((127.49898896549333 36.09891052357588, 127.49898895971833 36.09936131331608, 127.4984334932123 36.09936130734185, 127.49843350216008 36.09891051760175, 127.49898896549333 36.09891052357588))",62.5,0
"POLYGON ((127.49898895971779 36.099361313316926, 127.49898895394264 36.09981210302312, 127.49843348426377 36.09981209704879, 127.49843349321176 36.0993613073427, 127.49898895971779 36.099361313316926))",34.71,0
"POLYGON ((127.49843349321212 36.099361307342434, 127.49843348426413 36.09981209704854, 127.49787801458545 36.09981208849926, 127.49787802670629 36.099361298793305, 127.49843349321212 36.099361307342434))",17.930000000000003,0
"POLYGON ((127.4984335021596 36.09891051760238, 127.49843349321182 36.09936130734247, 127.49787802670599 36.099361298793326, 127.49787803882657 36.098910509053376, 127.4984335021596 36.09891051760238))",4.260000000000002,0
"POLYGON ((127.49787803882688 36.0989105090529, 127.49787802670626 36.09936129879285, 127.49732256020071 36.099361287668806, 127.4973225754941 36.09891049792903, 127.49787803882688 36.0989105090529))",4.540000000000001,0
"POLYGON ((127.49787802670642 36.09936129879298, 127.49787801458555 36.09981208849894, 127.49732254490714 36.0998120773747, 127.49732256020087 36.099361287668934, 127.49787802670642 36.09936129879298))",8.710000000000003,0
"POLYGON ((127.49787801458503 36.09981208849904, 127.4978780024639 36.10026287817102, 127.49732252961253 36.10026286704661, 127.4973225449066 36.099812077374814, 127.49787801458503 36.09981208849904))",12.690000000000003,0
"POLYGON ((127.49787800246362 36.10026287817113, 127.49787799034222 36.10071366780912, 127.49732251431786 36.10071365668452, 127.49732252961226 36.10026286704672, 127.49787800246362 36.10026287817113))",78.28,0
"POLYGON ((127.49843347531527 36.10026288672055, 127.49843346636686 36.10071367635867, 127.49787799034225 36.1007136678091, 127.49787800246365 36.10026287817113, 127.49843347531527 36.10026288672055))",105.23,0
