center_lat,center_lon,tot,영역 구분
36.098685043725474,127.49537846703099,35.0,0
36.09868502101446,127.494823005287,20.320000000000004,0
36.098684995728476,127.49426754354305,10.610000000000003,0
36.09913581076946,127.49482297571602,7.830000000000003,0
36.099135785483476,127.49426751080001,13.520000000000003,0
36.099586575205464,127.49426747805603,3.920000000000001,0
36.09958660049146,127.49482294614502,88.36,0
36.09958662320247,127.495378414235,49.2,0
36.09913583348049,127.495378440633,13.830000000000004,0
36.099135853616474,127.49593390555103,23.310000000000006,0
36.09958664333947,127.49593388232503,134.62,0
36.09958666090047,127.49648935041604,26.190000000000005,0
36.099586675887466,127.49704481850802,3.980000000000001,0
36.09913588616446,127.49704483538798,2.1900000000000004,0
36.09913587117846,127.49648937046902,9.710000000000003,0
36.098685096407465,127.49704485226701,10.160000000000004,0
36.09868508142147,127.496489390521,7.240000000000002,0
36.09868506386046,127.49593392877601,18.620000000000005,0
36.09868510881847,127.49760031401401,0.77,0
36.09913591567347,127.49871123014601,62.5,0
36.099586705397456,127.49871122278398,34.71,0
36.09958669813547,127.49815575469201,17.930000000000003,0
36.099135908412464,127.49815576522603,4.260000000000002,0
36.09913589857547,127.49760030030698,4.540000000000001,0
36.099586688298466,127.49760028659999,8.710000000000003,0
36.10003747798745,127.49760027289202,12.690000000000003,0
36.100488267642454,127.497600259184,78.28,0
36.10048827747945,127.49815573362204,105.23,0
36.10003748782445,127.49815574415703,23.000000000000004,0
36.100037495086454,127.49871121542202,86.53999999999999,0
36.10003749977346,127.49926668668803,97.77000000000001,0
36.10003750188545,127.49982215795299,222.98,0
36.10048829154046,127.49982215693701,266.3,0
36.10048828942846,127.49926668249903,130.76,0
36.10048828474146,127.49871120806101,147.76,0
36.10093907436246,127.49871120069902,215.1,0
36.10093907904945,127.49926667831002,410.72999999999996,0
36.10093908116145,127.499822155922,109.65,0
36.101389870748434,127.499822154906,156.77,0
36.10138986863646,127.49926667412103,259.21,0
36.10138986394945,127.498711193336,131.32999999999998,0
36.10138985668746,127.498155712552,229.82,0
36.10093906710045,127.498155723087,322.11,0
36.100939057263446,127.49760024547598,349.86,0
36.10138984685046,127.497600231768,168.73000000000002,0
36.10138983443746,127.49704475098397,220.07,0
36.10138981945045,127.49648927020095,81.15,0
36.10138980188745,127.49593378941802,133.18,0
36.10093901230145,127.495933812645,199.11,0
36.100939029863454,127.496489290255,101.74000000000001,0
36.10093904485146,127.497044767866,284.32,0
36.10048825523047,127.49704478474703,145.16,0
36.10048824024344,127.49648931030899,174.58,0
36.10003746557547,127.497044801627,19.150000000000002,0
36.10003745058847,127.496489330363,101.72,0
36.10003743302746,127.49593385909898,186.06,0
36.10048822268146,127.49593383587202,629.99,0
36.10048820254446,127.49537836143604,241.68,0
36.10003741289046,127.49537838783601,59.18000000000001,0
36.100037390178464,127.49482291657303,70.34,0
36.10048817983246,127.49482288700001,114.97,0
36.100938969451455,127.49482285742701,46.3,0
36.10093899216446,127.49537833503604,169.03,0
36.101389781749454,127.49537830863498,170.38,0
36.101840548588456,127.49482279827905,107.53,0
36.10229133810646,127.494822768703,44.010000000000005,0
36.102291360819464,127.49537825583201,19.960000000000004,0
36.10184057130145,127.49537828223403,172.59,0
36.101840591439455,127.49593376618898,41.09,0
36.10184062399047,127.49704473410205,86.86,0
36.10184060900246,127.49648925014601,124.75,0
36.10229141350947,127.49704471722005,90.38,0
36.10229139852146,127.49648923009002,130.89,0
36.10229138095846,127.49593374296097,95.69,0
36.102742170442454,127.49593371973103,35.31,0
36.10274220299445,127.497044700337,34.800000000000004,0
36.10274218800545,127.49648921003397,20.990000000000006,0
36.10319299244446,127.497044683455,25.180000000000007,0
36.103192977456445,127.49648918997802,38.870000000000005,0
36.103192959892446,127.49593369650201,98.59,0
36.102742150303456,127.49537822942902,14.710000000000004,0
36.102742127589444,127.49482273912801,24.350000000000005,0
36.104996149907436,127.49704461591901,20.040000000000006,0
36.10454536059345,127.49704463280302,38.59,0
36.10454534560344,127.496489129806,15.030000000000005,0
36.104094571244445,127.49704464968701,44.230000000000004,0
36.10409455625545,127.496489149864,54.61,0
36.10364376687245,127.49648916992098,92.78,0
36.10364378186144,127.49704466657101,47.4,0
36.10364379427445,127.49760016322202,22.150000000000006,0
36.10364380411344,127.498155659872,7.420000000000003,0
36.10409459349645,127.498155649336,5.100000000000001,0
36.10409458365744,127.49760014951104,8.440000000000003,0
36.104545373006445,127.49760013580098,11.930000000000003,0
36.10499616232145,127.49760012209002,7.210000000000003,0
36.104996172160455,127.49815562826201,1.49,0
36.104545382845444,127.49815563879902,7.070000000000002,0
36.104545394796446,127.49926664479504,1.34,0
36.10454539010844,127.49871114179702,1.8100000000000003,0
36.10409460755845,127.49982214881001,0.02,0
36.10409460544644,127.499266648985,1.29,0
36.104094600759424,127.49871114916003,0.02,0
36.103643816063446,127.49926665317402,2.9400000000000004,0
36.103643811375434,127.49871115652303,2.5600000000000005,0
36.103643818175435,127.499822149826,0.72,0
36.10319302875845,127.499822150842,18.850000000000005,0
36.102742239306465,127.499822151858,29.580000000000005,0
36.10274223719445,127.499266661553,41.50000000000001,0
36.10274223250747,127.49871117124901,32.72,0
36.103193026646444,127.49926665736399,5.070000000000001,0
36.10319302195846,127.49871116388601,11.380000000000003,0
36.10319301469544,127.498155670409,53.300000000000004,0
36.10319300485845,127.497600176931,46.4,0
36.10274221540746,127.497600190641,116.94000000000001,0
36.10274222524445,127.498155680945,165.04000000000002,0
36.10229143575946,127.49815569148097,96.6,0
36.102291425922445,127.49760020435,52.300000000000004,0
36.101840636403445,127.49760021805902,126.91,0
36.101840646240454,127.498155702017,166.08,0
36.10184065819046,127.499266669932,100.79,0
36.10184065350245,127.49871118597402,61.32000000000001,0
36.10229144302246,127.49871117861203,56.42,0
36.10229144770946,127.49926666574301,10.470000000000002,0
36.10229144982146,127.49982215287402,70.75999999999999,0
36.10184066030246,127.49982215389,239.73,0
36.10184065983947,127.50037763784799,10.640000000000004,0
36.102291449358454,127.50037764000503,47.71,0
36.10229144632045,127.50093312713601,68.18,0
36.10229144070646,127.501488614267,52.63,0
36.10184065118746,127.501488605763,6.120000000000002,0
36.10184065680046,127.50093312180496,9.470000000000002,0
36.10184064299845,127.50204408972,0.87,0
36.101840632235465,127.502599573678,0.26,0
36.102291421754465,127.50259958852804,4.580000000000001,0
36.10229143251744,127.50204410139796,24.350000000000005,0
36.102742222003464,127.50204411307496,3.540000000000001,0
36.10274221123946,127.502599603379,16.200000000000003,0
36.10274223019145,127.50148862277103,13.180000000000005,0
36.10274223580545,127.50093313246701,13.460000000000004,0
36.102742238843454,127.50037764216202,8.080000000000002,0
36.10274218198546,127.50371058398498,25.400000000000006,0
36.10274219789945,127.50315509368198,18.750000000000004,0
36.10274216349545,127.50426607428797,11.900000000000004,0
36.10229137401144,127.50426604991702,2.47,0
36.102291392500454,127.50371056278797,0.83,0
36.10229140841546,127.50315507565799,1.87,0
36.10184060298245,127.50371054159098,0.0,0
36.10184061889646,127.503155057635,0.08,0
36.10184058449346,127.504266025547,0.94,0
36.100037460481474,127.503154985544,0.21,0
36.10048825013645,127.50315500356601,0.45,0
36.10138979494146,127.50426600117798,0.05,0
36.10138982934347,127.50315503961097,0.0,0
36.10138984268246,127.502599558828,0.060000000000000005,0
36.10093905309545,127.50259954397801,0.0,0
36.10093906385845,127.50204406636699,0.76,0
36.10138985344546,127.50204407804402,0.5,0
36.10138986163445,127.50148859725903,11.510000000000003,0
36.10138986724746,127.50093311647501,3.4700000000000006,0
36.10138987028545,127.50037763569001,38.790000000000006,0
36.10093908069846,127.50037763353303,58.07,0
36.10093907766046,127.50093311114502,31.430000000000003,0
36.10093907204747,127.50148858875599,1.7200000000000002,0
36.100488282426454,127.50148858025301,29.620000000000005,0
36.100488288039465,127.50093310581403,29.070000000000004,0
36.10048829107747,127.50037763137601,90.61999999999999,0
36.10003750142147,127.500377629219,152.83,0
36.10003749838345,127.50093310048399,92.89,0
36.10003749277046,127.50148857175,46.379999999999995,0
36.10003748458247,127.50204404301499,62.85,0
36.10048827423747,127.50204405469103,14.390000000000004,0
36.100488263474475,127.50259952912904,1.8800000000000001,0
36.10003747381948,127.50259951428,5.4700000000000015,0
36.09958668413146,127.50259949943099,22.300000000000004,0
36.09913589440847,127.50259948458299,36.36,0
36.09913590517046,127.50204401966398,52.970000000000006,0
36.09958669489346,127.50204403133897,67.28,0
36.099586703081464,127.50148856324697,63.86000000000001,0
36.099586708694474,127.50093309515401,193.15,0
36.099586711732464,127.500377627062,299.87,0
36.09913591897148,127.50093308982498,103.07000000000001,0
36.099135913358474,127.50148855474399,45.93,0
36.09868512360146,127.501488546242,49.75,0
36.098234325623466,127.502043996313,35.160000000000004,0
36.09868511541347,127.502044007988,43.6,0
36.09868510465147,127.50259946973499,61.92,0
36.09823431486047,127.50259945488698,0.9299999999999999,0
36.09778352503547,127.50259944003999,1.0899999999999999,0
36.09778351169947,127.50315489544099,5.700000000000001,0
36.098234301523476,127.50315491346102,17.090000000000003,0
36.098234285611476,127.50371037203396,11.800000000000004,0
36.097783495787475,127.50371035084102,2.6300000000000003,0
36.09778347730148,127.50426580624102,2.18,0
36.09823426712546,127.50426583060597,8.080000000000002,0
36.098685056915464,127.504265854972,8.390000000000002,0
36.09868507540247,127.503710393227,14.560000000000004,0
36.09868509131446,127.50315493148102,19.340000000000003,0
36.09913586515846,127.50371041442,9.540000000000003,0
36.09913588107047,127.50315494950203,16.330000000000005,0
36.09958667079346,127.50315496752302,10.480000000000004,0
36.09958665488047,127.50371043561401,2.5400000000000005,0
36.09958663639347,127.50426590370499,2.1700000000000004,0
36.09913584667145,127.50426587933799,5.290000000000002,0
36.099135825608464,127.50482134425596,2.29,0
36.09958661533046,127.504821371795,0.0,0
36.099586591693466,127.50537683988496,0.0,0
36.09913577575947,127.50593227408899,0.0,0
36.099135801971464,127.505376809172,0.0,0
36.098685012216464,127.505376778461,1.4400000000000002,0
36.09868503585346,127.504821316717,4.3900000000000015,0
36.098234246063456,127.50482128917798,6.300000000000002,0
36.09778345623947,127.50482126163998,1.9000000000000001,0
36.098234222427486,127.50537674774998,1.62,0
36.095078470707485,127.49093518729703,0.0,500
36.09733223180847,127.48871311956202,0.69,500
36.097332282839474,127.48926857177806,0.060000000000000005,500
36.09733233129648,127.48982402399503,0.24000000000000002,500
36.09688154141048,127.48982408211505,0.01,500
36.09643075149047,127.48982414023406,0.0,500
36.09643079737048,127.49037958610703,0.05,500
36.09688158729146,127.49037953116006,0.18,500
36.097332377178475,127.49037947621302,1.23,500
36.096881630598475,127.49093498020699,1.6700000000000002,500
36.09733242048546,127.490934928432,24.020000000000003,500
36.09643084067647,127.490935031981,3.0300000000000002,500
36.095980050720485,127.49093508375404,0.04,500
36.095980007415484,127.49037964105202,0.0,500
36.09552921742748,127.49037969599603,0.0,500
36.09552926073148,127.49093513552602,0.0,500
36.09552930146148,127.49149057505703,0.0,500
36.09552933961648,127.49204601458905,0.0,500
36.095529375197486,127.49260145412205,0.18,500
36.095980165188486,127.49260141186704,1.36,500
36.09598012960747,127.49204596916202,1.9100000000000001,500
36.09598009145146,127.49149052645703,0.21,500
36.09643088140746,127.491490477857,1.29,500
36.09643091956447,127.49204592373302,1.53,500
36.09688167132946,127.49149042925501,7.5900000000000025,500
36.09733246121848,127.491490380652,47.92,500
36.09733249937647,127.492045832874,33.120000000000005,500
36.09688170948749,127.49204587830403,9.280000000000003,500
36.09733253495946,127.49260128509603,12.780000000000005,500
36.096881745069474,127.49260132735404,0.61,500
36.09643098815348,127.49315681549004,0.0,500
36.09733256796747,127.49315673732002,1.29,500
36.09688177807747,127.493156776405,0.0,500
36.09733259840148,127.49371218954401,0.0,500
36.09643101858647,127.49371226136903,0.0,500
36.09598022862748,127.49371229728003,0.07,500
36.09598019819548,127.49315685457302,3.0200000000000005,500
36.094177068453476,127.49371244091803,0.0,500
36.09462793439348,127.49537870458602,0.0,500
36.09462795452648,127.495934137779,0.0,500
36.095078744588484,127.49593411455801,0.0,500
36.09552956715948,127.49704497041401,0.0,500
36.09552958940447,127.49815584949201,0.0,500
36.09643118130747,127.499266720195,0.0,500
36.09688197123447,127.49926671600699,0.0,500
36.09733276112747,127.49926671181902,0.0,500
36.096881966548466,127.49871126695002,0.0,500
36.09643114711449,127.49704493665998,0.0,500
36.097332726933466,127.497044902904,0.0,500
36.09688192205648,127.49648947072602,0.060000000000000005,500
